,0
0,001040.KS
1,011150.KS
2,012630.KS
3,082740.KS
4,001390.KS
5,010060.KS
6,002360.KS
7,001740.KS
8,011810.KS
9,071970.KS
10,024070.KS
11,011420.KS
12,267290.KS
13,002240.KS
14,001290.KS
15,014530.KS
16,214330.KS
17,013700.KS
18,090350.KS
19,005250.KS
20,004130.KS
21,004440.KS
22,014160.KS
23,003220.KS
24,002880.KS
25,001620.KS
26,023450.KS
27,004140.KS
28,000640.KS
29,001520.KS
30,000400.KS
31,023530.KS
32,071840.KS
33,204210.KS
34,009200.KS
35,085620.KS
36,006400.KS
37,207940.KS
38,068290.KS
39,029780.KS
40,000810.KS
41,005680.KS
42,003720.KS
43,005500.KS
44,007610.KS
45,136490.KS
46,091090.KS
47,067830.KS
48,019170.KS
49,293940.KS
50,055550.KS
51,020560.KS
52,012280.KS
53,105840.KS
54,103130.KS
55,005820.KS
56,008600.KS
57,033270.KS
58,047400.KS
59,088260.KS
60,023800.KS
61,249420.KS
62,194370.KS
63,025620.KS
64,271980.KS
65,001560.KS
66,002620.KS
67,018470.KS
68,002600.KS
69,071320.KS
70,088790.KS
71,029460.KS
72,007810.KS
73,192820.KS
74,138490.KS
75,021240.KS
76,020120.KS
77,003240.KS
78,004100.KS
79,005490.KS
80,039130.KS
81,036460.KS
82,000970.KS
83,104700.KS
84,168490.KS
85,128940.KS
86,105630.KS
87,004710.KS
88,300720.KS
89,002220.KS
90,002320.KS
91,009460.KS
92,027390.KS
93,267270.KS
94,004560.KS
95,057050.KS
96,111110.KS
97,008770.KS
98,027410.KS
99,138930.KS
100,000590.KS
101,114090.KS
102,006360.KS
103,001250.KS
104,001060.KS
105,105560.KS
106,034220.KS
107,064960.KS
108,101060.KS
109,001380.KS
110,034730.KS
111,011790.KS
112,012320.KS
113,214390.KS
114,014280.KS
115,004540.KS
116,004270.KS
117,251270.KS
118,006370.KS
119,000210.KS
120,006570.KS
121,009190.KS
122,047040.KS
123,000300.KS
124,001070.KS
125,001440.KS
126,084010.KS
127,016090.KS
128,007590.KS
129,083370.KS
130,102260.KS
131,082640.KS
132,018500.KS
133,042670.KS
134,016740.KS
135,024090.KS
136,011170.KS
137,268280.KS
138,107590.KS
139,035150.KS
140,002410.KS
141,002760.KS
142,003850.KS
143,000890.KS
144,005180.KS
145,003960.KS
146,008040.KS
147,014710.KS
148,145990.KS
149,003230.KS
150,023000.KS
151,001880.KS
152,011230.KS
153,021050.KS
154,004490.KS
155,004430.KS
156,005800.KS
157,004770.KS
158,002790.KS
159,122900.KS
160,003560.KS
161,078520.KS
162,036570.KS
163,085310.KS
164,014440.KS
165,111770.KS
166,003520.KS
167,000670.KS
168,016880.KS
169,002920.KS
170,000100.KS
171,005950.KS
172,015020.KS
173,014990.KS
174,008500.KS
175,120030.KS
176,185750.KS
177,272450.KS
178,011000.KS
179,030200.KS
180,005420.KS
181,071950.KS
182,192400.KS
183,015590.KS
184,006890.KS
185,214420.KS
186,084870.KS
187,091810.KS
188,019490.KS
189,000080.KS
190,071050.KS
191,017960.KS
192,161890.KS
193,034830.KS
194,047810.KS
195,003300.KS
196,051600.KS
